kodas;ROD_KOD;VLST_KODAS2;2012_3;2012_4;2013_1;2013_2;2013_3;2013_4;2014_1;2014_2;2014_3;2014_4;2015_1;2015_2;2015_3;2015_4;2016_1;2016_2;2016_3;2016_4;2017_1;2017_2;2017_3;2017_4;2018_1;2018_2;2018_3;2018_4
X00013;20;NO;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00013;3030;PL;75;-17;;;;;;;;;;;;;;;;;;;;;;;;
X00014;1000;FI;;;1295;;;;;;;;;;;;;;;;;;;;;;;
X00014;1030;FI;116;116;276;;;;;;;;;;;;;;;;;;;;;;;
X00014;1031;FI;;;460;;;;;;;;;;;;;;;;;;;;;;;
X00014;1050;FI;1179;1295;1111;1111;1111;1111;;;;;;;;;;;;;;;;;;;;
X00014;1290;FI;;;99;99;;;;;;;;;;;;;;;;;;;;;;
X00014;1310;FI;;;99;;;;;;;;;;;;;;;;;;;;;;;
X00014;3030;FI;116;116;;;;;;;;;;;;;;;;;;;;;;;;
X00015;3160;BE;;;;71;71;71;;;;;;;;;;;;;;;;;;;;
X00015;3160;TR;;;;313;313;313;;;;;;;;;;;;;;;;;;;;
X00015;3200;BE;72;72;71;71;71;71;;;;;;;;;;;;;;;;;;;;
X00015;3200;TR;313;313;313;313;313;313;;;;;;;;;;;;;;;;;;;;
X00015;3350;BE;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;
X00015;3350;TR;;;4;4;4;4;;;;;;;;;;;;;;;;;;;;
X00016;10;SE;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00016;1000;SE;;;;;;;;24618;24618;24618;;;;;;;;;;;;;;;;
X00016;1010;SE;;;;;;;26152;;;;;;;;;;;;;;;;;;;
X00016;1030;SE;;;;;;;4078;;;;;;;;;;;;;;;;;;;
X00016;1031;SE;;;;;;;5612;;;;;;;;;;;;;;;;;;;
X00016;1050;SE;;;;;;;24618;24618;24618;24618;;;;;;;;;;;;;;;;
X00016;1260;SE;;;;;;;;;31;31;;;;;;;;;;;;;;;;
